,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
vsini,25.841,1.005,24.143,27.996,0.127,0.091,63.0,132.0,1.15
vz,105.546,0.791,104.023,106.979,0.119,0.085,42.0,134.0,1.22
cheb:1,-0.331,0.097,-0.517,-0.146,0.011,0.008,81.0,248.0,1.11
cheb:2,-0.016,0.086,-0.196,0.133,0.01,0.007,72.0,237.0,1.12
T,1465.969,7.465,1454.083,1481.48,1.054,0.75,49.0,124.0,1.2
