,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
vsini,32.606,4.06,29.216,42.075,0.835,0.6,46.0,23.0,1.44
vz,109.066,3.075,106.574,116.297,0.633,0.454,52.0,23.0,1.38
cheb:1,-0.738,0.428,-1.104,0.079,0.07,0.05,90.0,384.0,1.29
cheb:2,0.452,0.289,-0.096,0.735,0.048,0.034,62.0,26.0,1.32
T,1576.183,179.922,1469.003,2044.708,36.482,26.274,40.0,23.0,1.54
logg,4.732,0.505,4.5,6.071,0.105,0.075,43.0,23.0,1.49
