,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
vsini,27.111,0.585,26.293,28.377,0.106,0.076,53.0,23.0,1.36
vz,107.46,3.332,105.632,114.714,0.694,0.497,49.0,23.0,1.39
cheb:1,-0.906,0.449,-1.307,-0.052,0.079,0.056,43.0,23.0,1.48
cheb:2,0.565,0.33,-0.033,0.889,0.053,0.038,61.0,306.0,1.27
T,1556.617,27.784,1476.026,1575.615,5.498,3.933,54.0,23.0,1.33
logg,5.338,0.145,4.993,5.466,0.028,0.02,41.0,23.0,1.54
