order obs chisq vsini limbdark rv
0 0 5928.0860075897945 33.67280657720654 0.012912690760169085 0.0002031922404098955
0 1 5928.0860075897945 33.67280657720654 0.012912690760169085 0.0002031922404098955
0 2 5913.696655734798 34.757861286752586 0.23304778994980901 6.932014605309282e-05
0 3 5913.696655734798 34.757861286752586 0.23304778994980901 6.932014605309282e-05
0 4 5913.696655734798 34.757861286752586 0.23304778994980901 6.932014605309282e-05
0 5 5913.696655734798 34.757861286752586 0.23304778994980901 6.932014605309282e-05
0 6 5913.696655734798 34.757861286752586 0.23304778994980901 6.932014605309282e-05
0 7 5913.696655734798 34.757861286752586 0.23304778994980901 6.932014605309282e-05
0 8 5945.391824396466 32.94768796203516 0.3023841661816704 0.00010889768547494379
0 9 5945.391824396466 32.94768796203516 0.3023841661816704 0.00010889768547494379
0 10 5945.391824396466 32.94768796203516 0.3023841661816704 0.00010889768547494379
0 11 5945.391824396466 32.94768796203516 0.3023841661816704 0.00010889768547494379
0 12 5945.391824396466 32.94768796203516 0.3023841661816704 0.00010889768547494379
0 13 5945.391824396466 32.94768796203516 0.3023841661816704 0.00010889768547494379
0 14 5988.066491071249 32.942904814519466 0.17050956996370248 0.00012928248284428478
0 15 5988.066491071249 32.942904814519466 0.17050956996370248 0.00012928248284428478
0 16 5988.066491071249 32.942904814519466 0.17050956996370248 0.00012928248284428478
0 17 5988.066491071249 32.942904814519466 0.17050956996370248 0.00012928248284428478
0 18 5988.066491071249 32.942904814519466 0.17050956996370248 0.00012928248284428478
0 19 5978.9199861768375 33.54300548043801 0.2210600448150956 7.599578048610297e-05
0 20 5978.9199861768375 33.54300548043801 0.2210600448150956 7.599578048610297e-05
0 21 5978.9199861768375 33.54300548043801 0.2210600448150956 7.599578048610297e-05
0 22 5978.9199861768375 33.54300548043801 0.2210600448150956 7.599578048610297e-05
0 23 5978.9199861768375 33.54300548043801 0.2210600448150956 7.599578048610297e-05
0 24 5978.9199861768375 33.54300548043801 0.2210600448150956 7.599578048610297e-05
0 25 6051.651318916514 32.818887915248716 0.21579423035730316 6.02602959535921e-05
0 26 6051.651318916514 32.818887915248716 0.21579423035730316 6.02602959535921e-05
0 27 6051.651318916514 32.818887915248716 0.21579423035730316 6.02602959535921e-05
0 28 6051.651318916514 32.818887915248716 0.21579423035730316 6.02602959535921e-05
0 29 6051.651318916514 32.818887915248716 0.21579423035730316 6.02602959535921e-05
0 30 5913.384846126404 34.80273195537388 0.28206534338544564 9.006261846567615e-05
0 31 5913.384846126404 34.80273195537388 0.28206534338544564 9.006261846567615e-05
0 32 5913.384846126404 34.80273195537388 0.28206534338544564 9.006261846567615e-05
0 33 5913.384846126404 34.80273195537388 0.28206534338544564 9.006261846567615e-05
0 34 5958.324452089986 31.18561448501464 -0.05812174742119755 0.00016206502593822208
0 35 5958.324452089986 31.18561448501464 -0.05812174742119755 0.00016206502593822208
0 36 5958.324452089986 31.18561448501464 -0.05812174742119755 0.00016206502593822208
0 37 5958.324452089986 31.18561448501464 -0.05812174742119755 0.00016206502593822208
0 38 5958.324452089986 31.18561448501464 -0.05812174742119755 0.00016206502593822208
0 39 5958.324452089986 31.18561448501464 -0.05812174742119755 0.00016206502593822208
0 40 6488.286516996106 26.130571530921117 0.30812667411289785 0.00011819600483663214
0 41 6488.286516996106 26.130571530921117 0.30812667411289785 0.00011819600483663214
0 42 6488.286516996106 26.130571530921117 0.30812667411289785 0.00011819600483663214
0 43 6488.286516996106 26.130571530921117 0.30812667411289785 0.00011819600483663214
0 44 6488.286516996106 26.130571530921117 0.30812667411289785 0.00011819600483663214
0 45 6488.286516996106 26.130571530921117 0.30812667411289785 0.00011819600483663214
0 46 6587.936158782747 26.366926270656847 0.3404996414619754 0.0001254677657121933
0 47 6587.936158782747 26.366926270656847 0.3404996414619754 0.0001254677657121933
0 48 6587.936158782747 26.366926270656847 0.3404996414619754 0.0001254677657121933
0 49 6587.936158782747 26.366926270656847 0.3404996414619754 0.0001254677657121933
0 50 6587.936158782747 26.366926270656847 0.3404996414619754 0.0001254677657121933
0 51 6587.936158782747 26.366926270656847 0.3404996414619754 0.0001254677657121933
0 52 6587.936158782747 26.366926270656847 0.3404996414619754 0.0001254677657121933
0 53 6587.936158782747 26.366926270656847 0.3404996414619754 0.0001254677657121933
0 54 6556.805244558211 29.94357265641614 0.6544269390202497 9.661912979679108e-05
0 55 6556.805244558211 29.94357265641614 0.6544269390202497 9.661912979679108e-05
1 0 3438.033301055395 35.31556327317631 -0.06393015317252344 2.1517186474712764e-05
1 1 3438.033301055395 35.31556327317631 -0.06393015317252344 2.1517186474712764e-05
1 2 3433.615418464292 35.31155407205219 -0.05930130768734501 9.855797196025215e-05
1 3 3433.615418464292 35.31155407205219 -0.05930130768734501 9.855797196025215e-05
1 4 3433.615418464292 35.31155407205219 -0.05930130768734501 9.855797196025215e-05
1 5 3433.615418464292 35.31155407205219 -0.05930130768734501 9.855797196025215e-05
1 6 3433.615418464292 35.31155407205219 -0.05930130768734501 9.855797196025215e-05
1 7 3433.615418464292 35.31155407205219 -0.05930130768734501 9.855797196025215e-05
1 8 3425.6027899223914 35.90388062947582 0.016331853253679966 0.00011505466301625256
1 9 3425.6027899223914 35.90388062947582 0.016331853253679966 0.00011505466301625256
1 10 3425.6027899223914 35.90388062947582 0.016331853253679966 0.00011505466301625256
1 11 3425.6027899223914 35.90388062947582 0.016331853253679966 0.00011505466301625256
1 12 3425.6027899223914 35.90388062947582 0.016331853253679966 0.00011505466301625256
