,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
vsini,27.946,0.659,26.79,29.177,0.061,0.043,120.0,431.0,1.08
vz,107.577,0.449,106.784,108.482,0.051,0.036,79.0,255.0,1.13
cheb:1,-1.305,0.139,-1.543,-1.051,0.016,0.011,80.0,286.0,1.11
cheb:2,1.095,0.157,0.827,1.374,0.018,0.013,76.0,278.0,1.12
T,1479.616,4.597,1471.837,1488.457,0.47,0.334,96.0,266.0,1.09
