,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
vsini,27.25,0.267,26.738,27.717,0.037,0.026,52.0,172.0,1.19
vz,103.99,0.176,103.675,104.34,0.017,0.012,107.0,219.0,1.09
cheb:1,0.211,0.184,-0.076,0.562,0.021,0.015,76.0,132.0,1.11
cheb:2,-0.373,0.167,-0.637,-0.077,0.02,0.014,72.0,164.0,1.12
T,1510.319,2.53,1506.107,1515.25,0.307,0.218,69.0,229.0,1.13
