,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
vsini,25.014,1.591,22.282,27.909,0.238,0.169,46.0,31.0,1.44
vz,107.386,4.852,103.477,119.378,0.954,0.684,40.0,40.0,1.58
cheb:1,-0.058,0.07,-0.18,0.005,0.011,0.008,40.0,140.0,1.55
cheb:2,-0.116,0.115,-0.278,0.002,0.019,0.014,43.0,218.0,1.49
T,1515.433,146.145,1280.391,1873.565,28.746,20.561,29.0,25.0,2.53
logg,5.06,0.329,4.53,5.491,0.061,0.044,30.0,25.0,2.34
