,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
vsini,27.873,1.908,25.287,31.657,0.346,0.249,38.0,27.0,1.81
vz,110.205,7.128,106.335,128.899,1.377,0.985,37.0,27.0,1.85
cheb:1,-0.816,0.744,-1.791,0.091,0.132,0.095,35.0,129.0,1.97
cheb:2,0.648,0.625,-0.041,1.59,0.113,0.081,33.0,29.0,2.28
T,1510.937,75.656,1467.415,1692.967,14.053,10.039,36.0,27.0,1.98
logg,5.08,0.495,3.684,5.486,0.089,0.063,34.0,27.0,2.14
