,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
vsini,30.182,1.875,26.841,33.428,0.169,0.124,107.0,101.0,1.15
vz,105.585,2.266,99.152,108.645,0.383,0.273,53.0,24.0,1.35
cheb:1,-0.599,0.341,-1.019,-0.026,0.049,0.035,72.0,164.0,1.21
cheb:2,0.439,0.286,-0.023,0.814,0.039,0.028,70.0,205.0,1.22
T,1421.458,50.148,1368.781,1533.483,9.746,7.024,52.0,23.0,1.35
logg,4.802,0.358,4.084,5.321,0.061,0.043,55.0,23.0,1.31
