,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
vsini,24.665,3.538,20.377,31.541,0.649,0.469,40.0,28.0,1.75
vz,111.826,5.266,106.783,119.968,1.013,0.725,39.0,27.0,1.81
cheb:1,-0.19,0.237,-0.627,0.018,0.041,0.029,42.0,152.0,1.65
cheb:2,0.041,0.096,-0.076,0.279,0.01,0.007,114.0,237.0,1.71
T,1398.811,95.515,1222.534,1484.431,18.011,12.87,31.0,27.0,2.63
logg,4.935,0.349,4.19,5.468,0.065,0.046,31.0,27.0,2.61
